Town,List Year,Sale Amount,Assessed Value,Sales Ratio,Property Type,Estimated NOI,Cap Rate,SqFt,Price per SqFt
East Windsor,2001,195000.0,73690.0,0.377897436,,13650.000000000002,0.0624125888003304,2442,79.85257985257985
Waterbury,2005,137000.0,77910.0,0.568686131,,9590.000000000002,0.07611590367276379,1228,111.56351791530945
Bethel,2001,400000.0,104430.0,0.261075,,28000.000000000004,0.08300665967201616,1560,256.4102564102564
Wallingford,2011,206900.0,139900.0,0.676172064,Single Family,14483.000000000002,0.07098068954897023,2672,77.43263473053892
Woodbridge,2011,380000.0,236880.0,0.623368421,Single Family,26600.000000000004,0.07601049126024106,2674,142.10919970082273
Clinton,2001,22000.0,56900.0,2.586363636,,1540.0000000000002,0.06428033201215394,1474,14.925373134328359
Oxford,2004,200000.0,103360.0,0.5168,,14000.000000000002,0.062449719123631224,1075,186.04651162790697
Middletown,2021,160000.0,72190.0,0.4511,Residential,11200.000000000002,0.062053328944965826,1440,111.11111111111111
Vernon,2001,74000.0,35560.0,0.480540541,,5180.000000000001,0.0645784943099309,2022,36.59742828882295
East Granby,2014,202000.0,125900.0,0.623267327,Single Family,14140.000000000002,0.08171523584635285,2690,75.09293680297398
Glastonbury,2004,83895.0,520100.0,6.199415937,,5872.650000000001,0.0663694878155296,2646,31.706349206349206
West Hartford,2009,390000.0,286900.0,0.735641026,Single Family,27300.000000000004,0.05717049320439762,2784,140.08620689655172
Haddam,2003,287500.0,136420.0,0.474504348,,20125.000000000004,0.06441595253522457,882,325.9637188208617
Branford,2001,225000.0,115920.0,0.5152,,15750.000000000002,0.07477332906867759,2817,79.87220447284345
Granby,2013,190000.0,131880.0,0.694105263,Single Family,13300.000000000002,0.08624328064698092,951,199.78969505783385
Morris,2010,15000.0,167820.0,11.188,Single Family,1050.0,0.06915065862927497,2982,5.030181086519114
Darien,2002,4800000.0,2584260.0,0.5383875,,336000.00000000006,0.057681028002769245,1358,3534.6097201767307
Portland,2022,207000.0,120260.0,0.5809,Residential,14490.000000000002,0.06356118772736753,1804,114.7450110864745
Southington,2022,115000.0,70.0,0.0006,Residential,8050.000000000001,0.06056532359318329,1515,75.9075907590759
Putnam,2001,149000.0,62000.0,0.416107383,,10430.000000000002,0.07009248698890587,1605,92.83489096573209
Danbury,2020,360000.0,190500.0,0.5291,Residential,25200.000000000004,0.08253931797175482,1193,301.7602682313495
Fairfield,2009,220000.0,246680.0,1.121272727,Condo,15400.000000000002,0.07154964348765691,1173,187.55328218243818
Watertown,2002,134000.0,65450.0,0.488432836,,9380.0,0.06864121329552131,1420,94.36619718309859
Waterbury,2020,115000.0,52400.0,0.4556,Residential,8050.000000000001,0.06761380743430907,2025,56.79012345679013
Groton,2019,55000.0,35700.0,0.6491,,3850.0000000000005,0.07978355413442584,2807,19.593872461702887
Old Saybrook,2002,195000.0,98300.0,0.504102564,,13650.000000000002,0.06572345278510931,1536,126.953125
Torrington,2005,109900.0,60000.0,0.545950864,,7693.000000000001,0.05363115162075138,1615,68.04953560371517
Stafford,2016,385000.0,245350.0,0.637272727,Single Family,26950.000000000004,0.05275999011913704,2578,149.34057408844066
Stamford,2019,190000.0,109420.0,0.5759,Condo,13300.000000000002,0.055258017261605535,2531,75.069142631371
Groton,2007,176500.0,119140.0,0.675014164,Condo,12355.000000000002,0.08152537957591122,1543,114.38755670771225
Torrington,2021,145000.0,80030.0,0.5519,Residential,10150.000000000002,0.07402946453976196,2510,57.76892430278885
Waterbury,2006,154760.0,71680.0,0.463168777,Three Family,10833.2,0.06631649758932912,2211,69.99547715965626
Old Lyme,2005,385000.0,215000.0,0.558441558,,26950.000000000004,0.08169332560924489,1426,269.9859747545582
Waterbury,2014,17500.0,59290.0,3.388,Single Family,1225.0000000000002,0.06540440336193293,2513,6.963788300835654
Hamden,2013,90500.0,123550.0,1.36519337,Condo,6335.000000000001,0.06277521063156298,902,100.33259423503326
Danbury,2003,295000.0,158700.0,0.537966102,,20650.000000000004,0.08183678071712251,1099,268.42584167424934
Plainville,2003,131600.0,90100.0,0.684650456,,9212.0,0.055915346854953515,1425,92.35087719298245
New Britain,2010,98000.0,122290.0,1.247857143,Single Family,6860.000000000001,0.07215732505262744,1640,59.75609756097561
Hartford,2004,152500.0,57190.0,0.375016393,,10675.000000000002,0.08136558644775246,2107,72.37778832463218
Weston,2004,669900.0,418670.0,0.624973877,,46893.00000000001,0.07913037291697807,1031,649.7575169738118
East Hartford,2022,276150.0,140110.0,0.5073,Residential,19330.500000000004,0.0750714988220061,2847,96.9968387776607
Monroe,2019,440000.0,271200.0,0.6164,Single Family,30800.000000000004,0.06656250549156142,1633,269.4427434170239
Southington,2021,620000.0,318540.0,0.5137,Residential,43400.00000000001,0.07235276772805183,2523,245.73919936583434
Westport,2008,2500000.0,2163500.0,0.8654,Single Family,175000.00000000003,0.06462421446040695,2687,930.4056568663938
Fairfield,2016,385000.0,341180.0,0.886181818,Single Family,26950.000000000004,0.08797274088736004,2374,162.17354675652908
Westport,2001,802500.0,536800.0,0.668909657,,56175.00000000001,0.059942822621440364,2279,352.12812637121544
Berlin,2009,210000.0,159000.0,0.757142857,Single Family,14700.000000000002,0.066593860257845,2526,83.1353919239905
Middletown,2001,48000.0,37490.0,0.781041667,,3360.0000000000005,0.05535044207350182,2955,16.243654822335024
East Haddam,2009,375000.0,373060.0,0.994826667,Single Family,26250.000000000004,0.062191673588303645,2783,134.74667624865253
Rocky Hill,2010,127000.0,78470.0,0.617874016,Condo,8890.0,0.06342795617342831,2022,62.80909990108803
Avon,2004,225000.0,141980.0,0.631022222,,15750.000000000002,0.0868465543647188,1744,129.0137614678899
West Hartford,2022,240000.0,155470.0,0.6477,Residential,16800.0,0.06891075417991611,1217,197.2062448644207
Old Saybrook,2022,550000.0,214200.0,0.3894,Residential,38500.00000000001,0.06514370166721294,2322,236.86477174849267
Wallingford,2008,187000.0,143010.0,0.764759358,Condo,13090.000000000002,0.07081548818563108,880,212.5
Fairfield,2019,335000.0,257250.0,0.7679,Single Family,23450.000000000004,0.08474927944740099,2194,152.68915223336373
Bolton,2016,255000.0,133100.0,0.521960784,Single Family,17850.0,0.08275423154495114,2334,109.25449871465295
Monroe,2014,175000.0,139700.0,0.798285714,Condo,12250.000000000002,0.061445518782697106,1261,138.7787470261697
Bloomfield,2007,200000.0,96360.0,0.4818,Single Family,14000.000000000002,0.06452069488955225,2026,98.71668311944718
Greenwich,2020,3690000.0,1741110.0,0.4718,Residential,258300.00000000003,0.09045654547677154,984,3750.0
Monroe,2015,490000.0,274800.0,0.560816327,Single Family,34300.0,0.07661060163249697,1688,290.2843601895735
Bridgeport,2005,148900.0,56207.0,0.377481531,,10423.000000000002,0.05822585624752448,1040,143.17307692307693
Greenwich,2013,590000.0,292670.0,0.496050847,Two Family,41300.00000000001,0.07098740119629722,1872,315.1709401709402
Waterbury,2019,55000.0,36990.0,0.6725,Two Family,3850.0000000000005,0.08386109129981184,1997,27.541311967951927
Easton,2016,1075000.0,769720.0,0.716018605,Single Family,75250.0,0.06323624661260285,2202,488.19255222524976
Glastonbury,2003,564699.0,449800.0,0.796530541,,39528.93,0.0864844695353153,2160,261.4347222222222
Monroe,2006,266500.0,149380.0,0.560525328,Condo,18655.0,0.05678181704951033,2204,120.91651542649728
Shelton,2007,254900.0,175210.0,0.687367595,Condo,17843.0,0.05171740355303677,2073,122.96189097925712
East Lyme,2002,150000.0,49280.0,0.328533333,,10500.000000000002,0.062144550299325696,2489,60.265166733627964
Avon,2016,219000.0,174940.0,0.798812785,Condo,15330.000000000002,0.0805784194016717,2897,75.59544356230583
Manchester,2015,120000.0,86400.0,0.72,Condo,8400.0,0.07517250819996596,1728,69.44444444444444
Norwalk,2004,385000.0,191450.0,0.497272727,,26950.000000000004,0.05696296032980318,940,409.5744680851064
Waterbury,2008,123500.0,103760.0,0.840161943,,8645.0,0.07504356470206082,2131,57.95401220084467
Sharon,2012,152500.0,218000.0,1.429508197,Single Family,10675.000000000002,0.08828796187646792,2774,54.9747656813266
Southbury,2003,141000.0,82520.0,0.585248227,,9870.000000000002,0.07453169381058068,1337,105.45998504113687
Darien,2006,3225000.0,1942850.0,0.602434109,Single Family,225750.00000000003,0.07135898718262232,2023,1594.1670785961444
Hartford,2002,164000.0,78820.0,0.480609756,,11480.000000000002,0.06459541438303448,2153,76.17278216442173
Morris,2018,349700.0,267610.0,0.7652,Single Family,24479.000000000004,0.07857480844201613,2417,144.6834919321473
Wethersfield,2006,261000.0,148000.0,0.567049808,Single Family,18270.0,0.06552366716095383,1404,185.89743589743588
Norwalk,2005,710000.0,301140.0,0.424140845,,49700.00000000001,0.07263607806158787,2709,262.0893318567737
Bridgeport,2006,52500.0,6711181.0,127.832019,,3675.0000000000005,0.0696130494787068,2074,25.313404050144648
Clinton,2012,241500.0,192300.0,0.796273292,Single Family,16905.0,0.05617202312802139,1567,154.11614550095723
Norwich,2021,111750.0,45700.0,0.4089,Residential,7822.500000000001,0.05278098821692435,1301,85.89546502690239
New Haven,2003,155000.0,75040.0,0.484129032,,10850.000000000002,0.07193080713785503,979,158.32482124616956
Waterbury,2022,250000.0,85848.0,0.3433,Residential,17500.0,0.07810357750062555,2881,86.77542519958348
Danbury,2019,238500.0,166200.0,0.6969,Condo,16695.0,0.049700318427005695,2526,94.41805225653206
Fairfield,2013,580000.0,335860.0,0.579068966,Single Family,40600.00000000001,0.06889436548158204,1617,358.68893011750157
Bristol,2013,95000.0,107520.0,1.131789474,Single Family,6650.000000000001,0.06678790616461286,1959,48.49412965798877
Manchester,2001,300000.0,87200.0,0.290666667,,21000.000000000004,0.06640383084911142,2564,117.00468018720748
Woodstock,2002,259900.0,120420.0,0.463332051,,18193.0,0.09349330561860908,2052,126.65692007797271
Glastonbury,2021,283500.0,136900.0,0.4828,Residential,19845.000000000004,0.06593890238243241,2020,140.34653465346534
New Britain,2020,207000.0,87990.0,0.425072464,Residential,14490.000000000002,0.058915353503684126,1873,110.51788574479444
Meriden,2003,100000.0,36960.0,0.3696,,7000.000000000001,0.08384086056118936,1765,56.657223796033996
Torrington,2004,134300.0,74800.0,0.556962025,,9401.0,0.07156074347524409,2417,55.564749689697976
Westport,2018,1475000.0,1002200.0,0.6794,Single Family,103250.00000000001,0.07901078466539763,2797,527.3507329281373
Hartford,2012,137500.0,141130.0,1.0264,,9625.000000000002,0.059708511269392764,1246,110.35313001605137
Bridgeport,2013,100000.0,230980.0,2.3098,Single Family,7000.000000000001,0.08527567208785125,956,104.60251046025104
Tolland,2001,120000.0,101630.0,0.846916667,,8400.0,0.08850960099901123,2446,49.05968928863451
Waterbury,2006,86000.0,46690.0,0.542906977,Single Family,6020.000000000001,0.0665123302784906,2952,29.132791327913278
East Haven,2002,155000.0,74140.0,0.478322581,,10850.000000000002,0.06750731656837933,1537,100.84580351333767
New Haven,2013,119000.0,93520.0,0.785882353,Three Family,8330.0,0.05790577227324967,1013,117.47285291214216
Berlin,2019,405000.0,229900.0,0.5677,Single Family,28350.000000000004,0.04884647784704204,1281,316.1592505854801
Fairfield,2003,439900.0,222950.0,0.506819732,,30793.000000000004,0.0699798737493453,2701,162.86560533135875
Southington,2007,360900.0,71470.0,0.198032696,Single Family,25263.000000000004,0.06521900874371579,1630,221.41104294478527
Stamford,2020,500000.0,290950.0,0.5819,Residential,35000.0,0.07950176422655568,944,529.6610169491526
Monroe,2017,315000.0,220100.0,0.698730159,Single Family,22050.000000000004,0.08123476998775676,872,361.23853211009174
Stamford,2014,155000.0,96320.0,0.621419355,Condo,10850.000000000002,0.06816967309919153,2764,56.07814761215629
West Hartford,2004,422000.0,257010.0,0.609028436,,29540.000000000004,0.06791275652690866,2581,163.50251840371948
Windham,2010,142000.0,111230.0,0.783309859,Single Family,9940.000000000002,0.0790397346475505,1831,77.55324959038776
West Hartford,2020,300000.0,169050.0,0.5635,Residential,21000.000000000004,0.08561636255815283,895,335.195530726257
Hartford,2001,125000.0,52430.0,0.41944,,8750.0,0.06054334991399343,937,133.40448239060834
Norwalk,2021,598000.0,179500.0,0.300167224,Residential,41860.00000000001,0.06832155711876492,2570,232.68482490272373
New Britain,2013,74000.0,142170.0,1.921216216,,5180.000000000001,0.05857166905757745,2359,31.369224247562528
East Lyme,2003,350000.0,245700.0,0.702,,24500.000000000004,0.08254749212481784,2584,135.44891640866874
Meriden,2019,130000.0,85820.0,0.6602,Single Family,9100.0,0.07860738158243638,2591,50.17367811655731
West Hartford,2005,399900.0,131330.0,0.328407102,,27993.000000000004,0.07450883347372432,2511,159.25925925925927
Stratford,2021,400000.0,165900.0,0.4147,Residential,28000.000000000004,0.08171121024409067,1943,205.8672156459084
Plainfield,2004,250000.0,136200.0,0.5448,,17500.0,0.059245953085392905,2784,89.79885057471265
Stamford,2022,587965.0,491745.0,0.8363,Residential,41157.55,0.07812364230235971,1730,339.86416184971097
Ellington,2002,1016894.0,762690.0,0.750019176,,71182.58,0.10339790331365531,1674,607.4635603345281
Stamford,2019,1168000.0,774310.0,0.6629,Single Family,81760.00000000001,0.07113301212323692,859,1359.720605355064
Montville,2017,65000.0,45930.0,0.706615385,Condo,4550.0,0.05884836216958574,2854,22.775052557813595
West Hartford,2003,129500.0,94470.0,0.729498069,,9065.0,0.06413077761384993,2977,43.500167954316424
Middletown,2010,300000.0,217720.0,0.725733333,Single Family,21000.000000000004,0.08224959845057461,2241,133.86880856760374
Bridgeport,2009,1500000.0,884500.0,0.589666667,Single Family,105000.00000000001,0.08298840887027295,917,1635.7688113413303
Stratford,2005,425000.0,254030.0,0.597717647,,29750.000000000004,0.07207218621848757,2309,184.062364660026
Woodbridge,2012,329000.0,254660.0,0.774042553,Single Family,23030.000000000004,0.07797613378415669,2136,154.02621722846442
Hamden,2016,100000.0,105490.0,1.0549,Condo,7000.000000000001,0.04262205805172556,1646,60.75334143377886
Scotland,2012,106000.0,134220.0,1.266226415,Single Family,7420.000000000001,0.07062873265932508,873,121.42038946162657
New Haven,2003,196881.0,110530.0,0.561405113,,13781.670000000002,0.07573861624490284,2604,75.60714285714286
Danbury,2013,357230.0,35000.0,0.097976094,Condo,25006.100000000002,0.06264419066163344,1657,215.5884127942064
Haddam,2019,125000.0,88220.0,0.7058,,8750.0,0.06375194296850292,1081,115.63367252543941
New Haven,2012,150000.0,165760.0,1.105066667,,10500.000000000002,0.044756759299941405,1982,75.6811301715439
Wethersfield,2020,326000.0,160750.0,0.493,Residential,22820.000000000004,0.08597715562180408,1798,181.31256952169076
Oxford,2002,395000.0,258260.0,0.653822785,,27650.000000000004,0.08440077750017101,2303,171.5154146765089
Enfield,2009,211000.0,151690.0,0.718909953,Single Family,14770.000000000002,0.07101453143155664,2811,75.06225542511562
Milford,2020,310000.0,166890.0,0.5383,Residential,21700.000000000004,0.06786708474851945,2262,137.04686118479222
Montville,2017,199900.0,81100.0,0.405702851,Condo,13993.000000000002,0.07458347042450679,2921,68.43546730571722
Waterbury,2006,120000.0,40320.0,0.336,Condo,8400.0,0.07104757471229857,1873,64.06833956219968
Cheshire,2020,354900.0,186810.0,0.5263,Residential,24843.000000000004,0.07324658235502518,2149,165.14657980456025
Fairfield,2021,799999.0,382830.0,0.4785,Residential,55999.93000000001,0.08158612306839318,2942,271.9235214140041
Hamden,2021,85000.0,2811890.0,33.081,Apartments,5950.000000000001,0.06716122333105823,2256,37.677304964539005
Glastonbury,2003,140000.0,108400.0,0.774285714,,9800.000000000002,0.05697401933353039,902,155.21064301552107
North Stonington,2009,150000.0,170450.0,1.136333333,,10500.000000000002,0.06648278204565795,1041,144.0922190201729
Canterbury,2005,60000.0,0.0,0.0,,4200.0,0.06806707885078607,2958,20.28397565922921
Simsbury,2008,900000.0,637430.0,0.708255556,Single Family,63000.00000000001,0.07927569249043462,1525,590.1639344262295
Stamford,2005,493500.0,88480.0,0.17929078,,34545.0,0.0677443258662737,1505,327.90697674418607
Naugatuck,2005,130000.0,94570.0,0.727461538,,9100.0,0.06655611610852945,2586,50.27068832173241
Ridgefield,2019,382900.0,272640.0,0.712,Single Family,26803.000000000004,0.08105457598795754,2006,190.87736789631106
Waterbury,2005,259900.0,105630.0,0.406425548,,18193.0,0.0717040519808239,1066,243.80863039399625
Glastonbury,2008,310000.0,195600.0,0.630967742,Single Family,21700.000000000004,0.06357063986794678,2996,103.47129506008011
Durham,2006,320000.0,244440.0,0.763875,Single Family,22400.000000000004,0.07123740750938781,2346,136.40238704177324
Groton,2002,607033.0,564800.0,0.930427176,,42492.310000000005,0.08743334533792069,2611,232.49061662198392
Bristol,2018,299900.0,196210.0,0.6542,Three Family,20993.000000000004,0.09036457148331387,2498,120.05604483586869
Newtown,2005,260000.0,217560.0,0.836769231,,18200.0,0.06419635277958521,826,314.76997578692493
Cheshire,2014,60000.0,44410.0,0.740166667,Condo,4200.0,0.05467238705800228,984,60.97560975609756
Waterbury,2011,37000.0,121940.0,3.295675676,Single Family,2590.0000000000005,0.06223664843051578,1723,21.47417295414974
Bethel,2015,314475.0,103180.0,0.328102393,Condo,22013.250000000004,0.07745413131166269,2318,135.6665228645384
Milford,2017,255000.0,184960.0,0.725333333,Single Family,17850.0,0.07554941457825806,955,267.0157068062827
Manchester,2001,916772.0,305400.0,0.333125357,,64174.04000000001,0.07254543384634084,2510,365.24780876494026
Thompson,2012,125131.0,127300.0,1.017333834,Single Family,8759.17,0.06674731694733002,1123,111.42564559216385
Bridgeport,2010,170000.0,192980.0,1.135176471,Condo,11900.000000000002,0.07652716642721095,2251,75.52199022656598
Stamford,2002,185000.0,58940.0,0.318594595,,12950.000000000002,0.06385066796319183,1542,119.97405966277562
Putnam,2002,24000.0,95000.0,3.958333333,,1680.0000000000002,0.06302934659759794,1471,16.315431679129844
Wolcott,2012,250000.0,210320.0,0.84128,Condo,17500.0,0.060258260139894854,2544,98.27044025157232
Middletown,2011,172000.0,155600.0,0.904651163,Single Family,12040.000000000002,0.08408708259455731,1235,139.27125506072875
East Windsor,2006,247500.0,114290.0,0.461777778,Single Family,17325.0,0.08404540154920345,2258,109.61027457927369
Bridgeport,2005,285000.0,101921.0,0.357617544,,19950.000000000004,0.08029806634689657,2659,107.18315156073712
Easton,2017,665000.0,327260.0,0.4921,Single Family,46550.00000000001,0.0657454926062788,1895,350.9234828496042
New Milford,2004,329900.0,167440.0,0.507547742,,23093.000000000004,0.06850560746830581,1779,185.44125913434513
Manchester,2022,240000.0,125100.0,0.5212,Residential,16800.0,0.055369435703646455,942,254.77707006369425
Goshen,2003,75000.0,29900.0,0.398666667,,5250.000000000001,0.07819321601126351,2411,31.107424305267525
Rocky Hill,2017,378000.0,235620.0,0.6233,Single Family,26460.000000000004,0.0869051017847039,2089,180.9478219243657
Glastonbury,2009,130000.0,156300.0,1.202307692,Two Family,9100.0,0.05739297375640456,1448,89.77900552486187
Hartford,2020,82615.0,26320.0,0.318586213,Apartments,5783.05,0.07128098884358987,2504,32.99321086261981
Tolland,2002,181000.0,86240.0,0.476464088,,12670.000000000002,0.07411606423783851,1151,157.25456125108602
Farmington,2001,160000.0,75600.0,0.4725,,11200.000000000002,0.06848940979800924,1285,124.5136186770428
Wallingford,2018,233000.0,180400.0,0.7742,Single Family,16310.000000000002,0.0644041350503417,1898,122.76080084299262
Southbury,2021,600000.0,223350.0,0.3722,Residential,42000.00000000001,0.07742317937271664,2033,295.13034923757994
Killingworth,2015,369000.0,293800.0,0.796205962,Single Family,25830.000000000004,0.059183740503286966,1614,228.62453531598513
West Haven,2006,270000.0,163030.0,0.603814815,Single Family,18900.0,0.07354274871095061,2845,94.90333919156414
Newtown,2003,635000.0,102700.0,0.161732283,,44450.00000000001,0.07137520273342106,2483,255.73902537253323
Middletown,2019,348000.0,212140.0,0.6096,Single Family,24360.000000000004,0.06889376946088144,1215,286.41975308641975
Meriden,2003,57500.0,65310.0,1.135826087,,4025.0000000000005,0.0562545233958508,1409,40.80908445706174
Berlin,2009,5500.0,26300.0,4.781818182,Single Family,385.00000000000006,0.08268632009620064,1857,2.9617662897145935
Ledyard,2002,213000.0,108150.0,0.507746479,,14910.000000000002,0.06491760808824708,1123,189.67052537845058
New Haven,2011,124100.0,91490.0,0.737228042,Single Family,8687.0,0.060891179066915505,1959,63.348647269014805
Middlebury,2018,378112.0,263400.0,0.6966,Condo,26467.840000000004,0.07876835023331492,2777,136.15844436442202
Bristol,2005,230000.0,85370.0,0.371173913,,16100.000000000002,0.06015211720064095,2889,79.6123226029768
Salisbury,2007,675000.0,419680.0,0.621748148,Single Family,47250.00000000001,0.0660050979039269,2904,232.43801652892563
Madison,2010,450000.0,246700.0,0.548222222,Single Family,31500.000000000004,0.07613148107135666,2489,180.79550020088388
Middletown,2019,145000.0,77200.0,0.5324,Condo,10150.000000000002,0.0881084886216473,2200,65.9090909090909
Stratford,2017,219900.0,124040.0,0.564,Condo,15393.000000000002,0.07150599725573639,863,254.80880648899188
New Haven,2008,170000.0,174090.0,1.024058824,Two Family,11900.000000000002,0.07202476350809545,2373,71.63927517909819
Avon,2009,475000.0,276360.0,0.581810526,Single Family,33250.0,0.05919389692128414,2204,215.51724137931035
West Haven,2012,160000.0,129150.0,0.8071875,Single Family,11200.000000000002,0.07363896366512473,843,189.79833926453145
Trumbull,2004,80000.0,185890.0,2.323625,,5600.000000000001,0.07601363707378478,854,93.6768149882904
Lisbon,2013,299999.0,222220.0,0.740735802,Single Family,20999.93,0.08054677589269232,1303,230.23714504988487
Beacon Falls,2005,226000.0,70000.0,0.309734513,,15820.000000000002,0.04915784185229551,2006,112.66201395812563
Fairfield,2014,420000.0,253400.0,0.603333333,Single Family,29400.000000000004,0.06669449848552389,1579,265.991133628879
Norwich,2015,45000.0,93600.0,2.08,,3150.0000000000005,0.062015246603571376,1159,38.826574633304574
Shelton,2020,384000.0,165410.0,0.430755208,Residential,26880.000000000004,0.07733071144965066,1162,330.46471600688466
Stratford,2001,29000.0,58600.0,2.020689655,,2030.0000000000002,0.06376757216782927,1518,19.104084321475625
Middletown,2009,205500.0,139290.0,0.677810219,Condo,14385.000000000002,0.06085359663607205,1601,128.3572767020612
New Milford,2017,440000.0,325850.0,0.740568182,Single Family,30800.000000000004,0.07827371543274705,2866,153.52407536636426
Old Saybrook,2012,352000.0,282000.0,0.801136364,Single Family,24640.000000000004,0.09173713079893664,1258,279.8092209856916
New London,2015,51000.0,143920.0,2.821960784,,3570.0000000000005,0.07928826721930603,1450,35.172413793103445
Thomaston,2017,185000.0,115220.0,0.6228,Single Family,12950.000000000002,0.0815676204560997,1669,110.84481725584182
Greenwich,2002,405000.0,676480.0,1.670320988,,28350.000000000004,0.0667501537451387,1592,254.39698492462313
Bridgeport,2005,240000.0,124320.0,0.518,,16800.0,0.0785585027875058,2930,81.91126279863481
Naugatuck,2003,168000.0,89600.0,0.533333333,,11760.000000000002,0.05968210236945776,1717,97.84507862550961
Southington,2006,280000.0,175420.0,0.6265,Single Family,19600.000000000004,0.07520360002736198,1696,165.0943396226415
Bristol,2018,1140000.0,609770.0,0.5348,,79800.00000000001,0.06528900068633739,2152,529.7397769516729
Winchester,2004,144900.0,70840.0,0.488888889,,10143.000000000002,0.07311181638930761,2167,66.8666359021689
Greenwich,2018,315000.0,174790.0,0.5548,Condo,22050.000000000004,0.05804684087743065,2453,128.41418671015083
Shelton,2008,287200.0,267680.0,0.932033426,Single Family,20104.000000000004,0.06404624717782281,1485,193.4006734006734
Wilton,2016,555000.0,327810.0,0.590648649,Single Family,38850.00000000001,0.05553461767252932,1091,508.7076076993584
Norwalk,2004,137000.0,67900.0,0.495620438,,9590.000000000002,0.07823983735497353,2183,62.75767292716445
Guilford,2001,505000.0,195580.0,0.387287129,,35350.0,0.06284868975360268,1226,411.9086460032626
Bridgeport,2016,143000.0,112200.0,0.784615385,Condo,10010.000000000002,0.0614081540797206,2938,48.67256637168141
Hartford,2012,47000.0,56063.0,1.192829787,Two Family,3290.0000000000005,0.07969667447667454,1073,43.80242311276794
Woodbury,2021,430000.0,213800.0,0.4972,Residential,30100.000000000004,0.06266755381956746,837,513.7395459976105
Brookfield,2005,495650.0,100060.0,0.201876324,,34695.5,0.06845820138948155,1363,363.6463683052091
Groton,2010,435000.0,293160.0,0.673931034,Single Family,30450.000000000004,0.061717895857185026,1660,262.04819277108436
Prospect,2007,223000.0,150030.0,0.672780269,Single Family,15610.000000000002,0.07587017375311256,2342,95.21776259607174
Bridgeport,2021,385000.0,169970.0,0.4414,Residential,26950.000000000004,0.07239538789257985,1633,235.7624004898959
Guilford,2005,325000.0,143260.0,0.4408,,22750.000000000004,0.04905351840543155,1165,278.9699570815451
Manchester,2020,185000.0,104900.0,0.567,Residential,12950.000000000002,0.06774513329397881,2812,65.78947368421052
Hamden,2007,310000.0,218120.0,0.703612903,Condo,21700.000000000004,0.07561944761318273,1898,163.32982086406744
West Hartford,2010,203000.0,136600.0,0.672906404,Single Family,14210.000000000002,0.06794685475981524,2069,98.11503141614307
Milford,2015,330000.0,222610.0,0.674575758,Single Family,23100.000000000004,0.05070232744769706,1164,283.50515463917526
Berlin,2016,92400.0,197400.0,2.136363636,Single Family,6468.000000000001,0.08347870228071137,2431,38.009049773755656
